Sample	posterior	likelihood	prior	treeLikelihood.AMR-seqsim	treeHeight.t:AMR-seqsim	treeLength.t:AMR-seqsim	Tree.t:AMR-seqsim.count_Resistant_to_Sensitive	Tree.t:AMR-seqsim.count_Sensitive_to_Resistant	Tree.t:AMR-seqsim.count_Resistant	Tree.t:AMR-seqsim.count_Sensitive	rootTypeLogger.t:AMR-seqsim	R0.t:AMR-seqsim1	R0.t:AMR-seqsim2	samplingProportion.t:AMR-seqsim1	samplingProportion.t:AMR-seqsim2	samplingProportion.t:AMR-seqsim3	samplingProportion.t:AMR-seqsim4	becomeUninfectiousRate.t:AMR-seqsim1	becomeUninfectiousRate.t:AMR-seqsim2	rateMatrix.t:AMR-seqsim1	rateMatrix.t:AMR-seqsim2	geo-frequencies.t:AMR-seqsim1	geo-frequencies.t:AMR-seqsim2	clockRate.c:AMR-seqsim	kappa.s:AMR-seqsim	freqParameter.s:AMR-seqsim1	freqParameter.s:AMR-seqsim2	freqParameter.s:AMR-seqsim3	freqParameter.s:AMR-seqsim4
464000	-8937.876074468239	-8515.60134960882	-422.27472485941894	-8515.60134960882	10.137489368243278	212.17567999232108	76	48	1	99	1	0.18563471642180515	3.061910217294611	0.0	0.6356835025270171	0.0	0.2557840696665852	0.4597593821773836	0.4597593821773836	1.0092125802274234	0.4037818543705004	0.16520874870420413	0.8347912512957962	0.004986993724702911	2.820834539210424	0.23869321944684663	0.2564028731099723	0.24717854187707242	0.25772536556610864
465000	-8933.353854808638	-8519.81821886936	-413.5356359392779	-8519.81821886936	9.458411229133063	210.3679137265177	81	52	0	100	1	0.11639610647464624	3.033471790553878	0.0	0.37624455538759355	0.0	0.215000161278016	0.4905980443880978	0.4905980443880978	1.1607403339538802	0.5873361791328356	0.16520874870420413	0.8347912512957962	0.004920932559548189	2.820834539210424	0.23869321944684663	0.2564028731099723	0.26265826473437576	0.2422456427088053
466000	-8946.81736838415	-8525.026498873507	-421.7908695106432	-8525.026498873507	9.171451882910915	211.345345723784	93	64	0	100	1	0.14219900322919388	3.3055393376551607	0.0	0.23894877509418916	0.0	0.30027763098555926	0.4645071994342364	0.4645071994342364	1.0896405925393664	0.7329565771728193	0.16520874870420413	0.8347912512957962	0.004931354285554853	2.820834539210424	0.23869321944684663	0.2564028731099723	0.26265826473437576	0.2422456427088053
467000	-8942.057144490502	-8522.977232813708	-419.07991167679404	-8522.977232813708	9.949233033930545	211.75178326139286	95	68	1	99	0	0.03789844808593306	3.8176329233495383	0.0	0.15706804435055263	0.0	0.25476024894387594	0.44624698411602	0.44624698411602	0.9193904090994482	0.9233443203439672	0.24592051568005474	0.7540794843199456	0.0045989108708597865	2.820834539210424	0.23869321944684663	0.2564028731099723	0.26265826473437576	0.2422456427088053
468000	-8954.133483988802	-8521.41545028202	-432.71803370678134	-8521.41545028202	9.70374666737794	214.682146278561	106	79	1	99	0	0.08141938222693675	3.372519469874699	0.0	0.10947926731283422	0.0	0.16135900395154507	0.5207559330533975	0.5207559330533975	0.699680167044492	0.9901179857199328	0.3131304589883658	0.6868695410116346	0.00487798713051494	2.820834539210424	0.23869321944684663	0.2564028731099723	0.26265826473437576	0.2422456427088053
469000	-8939.56526193048	-8514.184862811122	-425.38039911935823	-8514.184862811122	9.83892237172449	215.16086191523118	95	68	1	99	0	0.05751916350548426	3.224782476088696	0.0	0.20268659566124955	0.0	0.1646565493730373	0.5385649025196237	0.5385649025196237	1.069903044667456	0.8415453607226919	0.2781188758528591	0.7218811241471412	0.004873492306223544	2.820834539210424	0.2495464614728675	0.2564028731099723	0.2518050227083549	0.2422456427088053
470000	-8939.40283295981	-8516.644383392924	-422.75844956688525	-8516.644383392924	9.714766243293194	216.29357234337382	92	63	0	100	1	0.022193206881351082	3.3962786433033982	0.0	0.2065657866330605	0.0	0.19744738570962875	0.5041936555195086	0.5041936555195086	1.0845236938653937	0.7165829782108786	0.45498018321387357	0.5450198167861268	0.004930407697048465	2.820834539210424	0.2495464614728675	0.2564028731099723	0.2518050227083549	0.2422456427088053
471000	-8941.885089285835	-8523.198825423699	-418.68626386213754	-8523.198825423699	9.673052177335075	214.0773562533496	84	57	1	99	0	0.037123851886836805	3.137685613545322	0.0	0.25949190320169785	0.0	0.22353340820591183	0.48003537090819176	0.48003537090819176	0.9709370912354289	0.7412410564232752	0.45498018321387357	0.5450198167861268	0.005102152537559041	2.820834539210424	0.2495464614728675	0.2564028731099723	0.2518050227083549	0.2422456427088053
472000	-8948.378563413018	-8522.265187699524	-426.1133757134936	-8522.265187699524	9.722268922510056	214.65260789766063	94	68	2	98	0	0.02394700379748302	3.6638192756667327	0.0	0.21227009976385677	0.0	0.18135832073562416	0.48623042488971324	0.48623042488971324	1.1757299092050428	0.8107876462489197	0.45498018321387357	0.5450198167861268	0.004996971505152207	2.820834539210424	0.2495464614728675	0.2564028731099723	0.2518050227083549	0.2422456427088053
473000	-8944.253331151507	-8525.269026642254	-418.98430450925343	-8525.269026642254	9.158523641654162	211.87212553663056	92	65	1	99	0	0.024606405938994207	3.556223371904395	0.0	0.252612713615733	0.0	0.21890284830736975	0.4810507632706444	0.4810507632706444	0.9563917428103756	0.7224338290553418	0.45498018321387357	0.5450198167861268	0.004956255410088658	2.8434898883602595	0.2495464614728675	0.2564028731099723	0.2518050227083549	0.2422456427088053
474000	-8942.326389509106	-8517.355441407299	-424.97094810180636	-8517.355441407299	10.733907544797612	212.90869189086757	92	65	1	99	0	0.04706610002638378	3.8341120620866986	0.0	0.37096700577252495	0.0	0.28983438782056664	0.4498106967651278	0.4498106967651278	0.9379057356558453	0.7471156740254102	0.45498018321387357	0.5450198167861268	0.004809983280625102	2.51960383768231	0.2495464614728675	0.2564028731099723	0.2518050227083549	0.2422456427088053
475000	-8937.583848260207	-8521.158730970163	-416.42511729004434	-8521.158730970163	9.383425364305158	210.4128280499982	93	64	0	100	1	0.009679663467332265	3.0508442998357173	0.0	0.2699547399481954	0.0	0.24783160977725152	0.5184083308465731	0.5184083308465731	1.1153938684645222	0.7732617108088954	0.45498018321387357	0.5450198167861268	0.004858049115569744	2.51960383768231	0.2495464614728675	0.2564028731099723	0.2518050227083549	0.2422456427088053
476000	-8943.296280256924	-8519.411248181388	-423.88503207553623	-8519.411248181388	10.001648851528442	210.19189147790695	106	78	1	99	1	0.030107528424762036	3.0889686121069695	0.0	0.3836019990786538	0.0	0.3810902292797692	0.4652900732706084	0.4652900732706084	1.0957623359707855	0.7596518884572584	0.2214153063979911	0.7785846936020092	0.005069624215178554	2.51960383768231	0.2495464614728675	0.2564028731099723	0.2518050227083549	0.2422456427088053
